,DEPARTAMENTO,PROVINCIA,DISTRITO,distr_prov
0,AMAZONAS,BAGUA,ARAMANGO,9.17
1,AMAZONAS,BAGUA,BAGUA,55.05
2,AMAZONAS,BAGUA,COPALLIN,3.67
3,AMAZONAS,BAGUA,IMAZA,22.02
4,AMAZONAS,BAGUA,LA PECA,10.09
5,AMAZONAS,BONGARA,CHURUJA,13.33
6,AMAZONAS,BONGARA,JAZAN,60.0
7,AMAZONAS,BONGARA,JUMBILLA,6.67
8,AMAZONAS,BONGARA,SAN CARLOS,6.67
9,AMAZONAS,BONGARA,VALERA,6.67
10,AMAZONAS,BONGARA,YAMBRASBAMBA,6.67
11,AMAZONAS,CHACHAPOYAS,BALSAS,2.27
12,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,70.45
13,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,4.55
14,AMAZONAS,CHACHAPOYAS,HUANCAS,2.27
15,AMAZONAS,CHACHAPOYAS,LA JALCA,4.55
16,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2.27
17,AMAZONAS,CHACHAPOYAS,MAGDALENA,2.27
18,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,2.27
19,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,2.27
20,AMAZONAS,CHACHAPOYAS,SOLOCO,6.82
21,AMAZONAS,CONDORCANQUI,EL CENEPA,13.64
22,AMAZONAS,CONDORCANQUI,NIEVA,59.09
23,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,27.27
24,AMAZONAS,LUYA,CAMPOREDONDO,4.55
25,AMAZONAS,LUYA,CAMPORREDONDO,4.55
26,AMAZONAS,LUYA,COCABAMBA,4.55
27,AMAZONAS,LUYA,LAMUD,18.18
28,AMAZONAS,LUYA,LONYA CHICO,4.55
29,AMAZONAS,LUYA,LUYA,22.73
30,AMAZONAS,LUYA,PISUQUIA,9.09
31,AMAZONAS,LUYA,SAN JERONIMO,4.55
32,AMAZONAS,LUYA,SANTO TOMAS,4.55
33,AMAZONAS,LUYA,TINGO,18.18
34,AMAZONAS,LUYA,TRITA,4.55
35,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,6.25
36,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,6.25
37,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,6.25
38,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,6.25
39,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,12.5
40,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,12.5
41,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,50.0
42,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,82.65
43,AMAZONAS,UTCUBAMBA,CAJARURO,12.24
44,AMAZONAS,UTCUBAMBA,CUMBA,1.02
45,AMAZONAS,UTCUBAMBA,EL MILAGRO,1.02
46,AMAZONAS,UTCUBAMBA,JAMALCA,2.04
47,AMAZONAS,UTCUBAMBA,YAMON,1.02
48,ANCASH,AIJA,CORIS,16.67
49,ANCASH,AIJA,HUACLLAN,16.67
50,ANCASH,AIJA,LA MERCED,66.67
51,ANCASH,ASUNCION,ACOCHACA,50.0
52,ANCASH,ASUNCION,CHACAS,50.0
53,ANCASH,BOLOGNESI,AQUIA,5.26
54,ANCASH,BOLOGNESI,CAJACAY,5.26
