"","DEPARTAMENTO","PROVINCIA","DISTRITO","deaths_distrito","deaths_provincia","deaths_departamento","distr_prov","prov_dpto","distr_dpto"
"1","AMAZONAS","BAGUA","ARAMANGO",10,109,326,9.2,33.4,3.1
"2","AMAZONAS","BAGUA","BAGUA",60,109,326,55,33.4,18.4
"3","AMAZONAS","BAGUA","COPALLIN",4,109,326,3.7,33.4,1.2
"4","AMAZONAS","BAGUA","IMAZA",24,109,326,22,33.4,7.4
"5","AMAZONAS","BAGUA","LA PECA",11,109,326,10.1,33.4,3.4
"6","AMAZONAS","BONGARA","CHURUJA",2,15,326,13.3,4.6,0.6
"7","AMAZONAS","BONGARA","JAZAN",9,15,326,60,4.6,2.8
"8","AMAZONAS","BONGARA","JUMBILLA",1,15,326,6.7,4.6,0.3
"9","AMAZONAS","BONGARA","SAN CARLOS",1,15,326,6.7,4.6,0.3
"10","AMAZONAS","BONGARA","VALERA",1,15,326,6.7,4.6,0.3
"11","AMAZONAS","BONGARA","YAMBRASBAMBA",1,15,326,6.7,4.6,0.3
"12","AMAZONAS","CHACHAPOYAS","BALSAS",1,44,326,2.3,13.5,0.3
"13","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",31,44,326,70.5,13.5,9.5
"14","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",2,44,326,4.5,13.5,0.6
"15","AMAZONAS","CHACHAPOYAS","HUANCAS",1,44,326,2.3,13.5,0.3
"16","AMAZONAS","CHACHAPOYAS","LA JALCA",2,44,326,4.5,13.5,0.6
"17","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",1,44,326,2.3,13.5,0.3
"18","AMAZONAS","CHACHAPOYAS","MAGDALENA",1,44,326,2.3,13.5,0.3
"19","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",1,44,326,2.3,13.5,0.3
"20","AMAZONAS","CHACHAPOYAS","MONTEVIDEO",1,44,326,2.3,13.5,0.3
"21","AMAZONAS","CHACHAPOYAS","SOLOCO",3,44,326,6.8,13.5,0.9
"22","AMAZONAS","CONDORCANQUI","EL CENEPA",3,22,326,13.6,6.7,0.9
"23","AMAZONAS","CONDORCANQUI","NIEVA",13,22,326,59.1,6.7,4
"24","AMAZONAS","CONDORCANQUI","RIO SANTIAGO",6,22,326,27.3,6.7,1.8
"25","AMAZONAS","LUYA","CAMPOREDONDO",1,22,326,4.5,6.7,0.3
"26","AMAZONAS","LUYA","CAMPORREDONDO",1,22,326,4.5,6.7,0.3
"27","AMAZONAS","LUYA","COCABAMBA",1,22,326,4.5,6.7,0.3
"28","AMAZONAS","LUYA","LAMUD",4,22,326,18.2,6.7,1.2
"29","AMAZONAS","LUYA","LONYA CHICO",1,22,326,4.5,6.7,0.3
"30","AMAZONAS","LUYA","LUYA",5,22,326,22.7,6.7,1.5
"31","AMAZONAS","LUYA","PISUQUIA",2,22,326,9.1,6.7,0.6
"32","AMAZONAS","LUYA","SAN JERONIMO",1,22,326,4.5,6.7,0.3
"33","AMAZONAS","LUYA","SANTO TOMAS",1,22,326,4.5,6.7,0.3
"34","AMAZONAS","LUYA","TINGO",4,22,326,18.2,6.7,1.2
"35","AMAZONAS","LUYA","TRITA",1,22,326,4.5,6.7,0.3
"36","AMAZONAS","RODRIGUEZ DE MENDOZA","COCHAMAL",1,16,326,6.2,4.9,0.3
"37","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",1,16,326,6.2,4.9,0.3
"38","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",1,16,326,6.2,4.9,0.3
"39","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",1,16,326,6.2,4.9,0.3
"40","AMAZONAS","RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES",2,16,326,12.5,4.9,0.6
"41","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",2,16,326,12.5,4.9,0.6
"42","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",8,16,326,50,4.9,2.5
"43","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",81,98,326,82.7,30.1,24.8
"44","AMAZONAS","UTCUBAMBA","CAJARURO",12,98,326,12.2,30.1,3.7
"45","AMAZONAS","UTCUBAMBA","CUMBA",1,98,326,1,30.1,0.3
"46","AMAZONAS","UTCUBAMBA","EL MILAGRO",1,98,326,1,30.1,0.3
"47","AMAZONAS","UTCUBAMBA","JAMALCA",2,98,326,2,30.1,0.6
"48","AMAZONAS","UTCUBAMBA","YAMON",1,98,326,1,30.1,0.3
"49","ANCASH","","",35,144,1878,24.3,7.7,1.9
"50","ANCASH","","CARHUAZ",1,144,1878,0.7,7.7,0.1
"51","ANCASH","","CASMA",2,144,1878,1.4,7.7,0.1
"52","ANCASH","","CHIMBOTE",69,144,1878,47.9,7.7,3.7
"53","ANCASH","","COISHCO",3,144,1878,2.1,7.7,0.2
"54","ANCASH","","GUADALUPITO",1,144,1878,0.7,7.7,0.1
"55","ANCASH","","HUANTAR",1,144,1878,0.7,7.7,0.1
